loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.019786107980856803,18.550795793533325,143,267.0,79.0,280106928.43302894,0.019786107980856803,77807.48012028582
-0.019684230565838103,20.119532108306885,144,562.0,88.0,319726709.19217044,0.019684230565838103,88812.9747756029
-0.020090234992661122,21.180339097976685,145,323.0,95.0,396862805.51944077,0.020090234992661122,110239.66819984466
-0.0199660444296456,22.025314807891846,146,435.0,87.0,452778746.2302056,0.0199660444296456,125771.87395283488
-0.020096383329048187,20.526260137557983,147,376.0,92.0,347410742.133896,0.020096383329048187,96502.98392608222
-0.020086116415202186,23.188607215881348,148,404.0,90.0,617546152.9893426,0.020086116415202186,171540.59805259516
-0.019656903529516226,18.06006145477295,149,530.0,100.0,246689220.99330673,0.019656903529516226,68524.78360925187
-0.019896412134879044,21.223994493484497,150,422.0,85.0,391139235.7621813,0.019896412134879044,108649.78771171703
-0.019228131871599947,17.09610867500305,151,447.0,96.0,215611826.2781333,0.019228131871599947,59892.17396614814
-0.02009941409337157,23.016451120376587,152,491.0,83.0,521261670.74797535,0.02009941409337157,144794.90854110426
-0.020054979935544545,23.174689292907715,153,383.0,93.0,625903525.2111676,0.020054979935544545,173862.09033643545
-0.019977754815283674,22.30467987060547,154,517.0,81.0,455390517.7547724,0.019977754815283674,126497.36604299233
-0.019924902592379834,18.245063543319702,155,305.0,97.0,262348935.91962725,0.019924902592379834,72874.70442211868
-0.019905635161235856,20.45742893218994,156,357.0,90.0,355291413.84391123,0.019905635161235856,98692.05940108646
-0.019209780381608154,14.019604206085205,157,692.0,86.0,139709046.7760099,0.019209780381608154,38808.068548891635
-0.02005725347812947,22.926910161972046,158,278.0,99.0,574582841.0782758,0.02005725347812947,159606.3447439655
-0.019416481489124324,18.999260663986206,159,477.0,58.0,301367460.4577929,0.019416481489124324,83713.18346049802
-0.020038201022457496,21.702539920806885,160,330.0,100.0,432274329.78936094,0.020038201022457496,120076.20271926693
-0.01919412188795977,15.083808660507202,161,255.0,77.0,171084248.67300513,0.01919412188795977,47523.40240916809
-0.01974719292544251,13.055603981018066,162,544.0,88.0,121380304.52834104,0.01974719292544251,33716.751257872515
-0.01958776712314802,16.79521107673645,163,198.0,72.0,232742044.78558484,0.01958776712314802,64650.567995995785
-0.02013120198669258,23.873101949691772,164,996.0,94.0,524260946.5888738,0.02013120198669258,145628.04071913162
